Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%)
"Vitt bröd fibrer 3,5% ospec",202,265.6,1111.4,47.7,3.61,8.17,3.5,35.5,0,1.54,1.96,2.36,0.05,0,,0.43,0,0.01,0.01,0.25,0.11,0.01,1.2,0.01,1.15,0.77,0.62,0.14,0,0,0,0,0,17.7,18.2,6,0,0.88,3.5,0.22,0.09,0,2.14,3.5,0.19,0.14,37.1,141.7,2,1.12,43.9,173.8,29.4,400,1,4.4,0.75,0
"Vitt bröd tortilla fibrer 4,6%",203,306.5,1282.6,50.6,6.8,7.88,4.6,27.6,0,2.5,0,1.72,0.49,0,,2.54,0,0.01,0.05,2.12,0.32,0.02,2.36,0.01,2.33,0.96,0.92,0,0,0,0,0,0,3,0.2,2,0.63,1.2,1.2,0.12,0.03,0,0.9,1.7,0.08,0,17.1,211,6,0.66,48,137,18,685,1.71,5,0.56,0
Vitt bröd typ Hönökaka mjölk fibrer ca 3%,204,293.4,1227.6,56.67,3.11,7.36,3,28.92,0,0.94,7.5,0.9,0,0,,0.6,0.01,0,0.01,0.43,0.12,0.01,0.87,0.01,0.77,0.59,0.53,0.06,0,0,0,0,0,48,48,0,0,0.26,,0.25,0.12,0,3.1,4.33,0.24,0,27.1,92.2,,0.78,38,124.8,15.7,200,0.5,0.96,0.67,0
Scones vitt bröd vete,205,291.9,1221.4,41.52,10.58,6.65,1.39,37.31,0,2.54,0.04,2.26,0.1,0,,5.22,0.48,0.27,0.57,2.98,0.66,0.02,3.18,0.08,3.15,1.5,1.1,0.27,0,0,0,0,15.09,,87.9,,0.44,1.04,,0.16,0.11,0.7,2.12,3.29,0.11,0.13,9.5,316,,0.65,214.7,123,17.8,556.5,1.39,1.92,0.64,
Chapati vitt bröd vete ojäst fibrer 3%,206,258.5,1081.5,44.37,5.31,6.34,2.87,39.52,0,1.61,0.11,0.84,0.18,12,,0.43,0,0,0,0.31,0.07,0.02,2.67,0.01,2.58,1.66,1.27,0.39,0,0,0,0,0,0,0,0,0,1.47,,0.24,0.06,0.5,2.59,3.62,0.18,0,17,109.5,,1.2,17.6,119.7,31,460.6,1.15,1.58,0.76,0
Rågsiktsbröd kavring fullkorn fibrer ca 7%,207,269.7,1128.3,47.27,4.74,5.48,7.04,34.29,0,1.18,7,3.85,0.65,23,,0.5,0,0,0.01,0.37,0.07,0.02,1.49,0.01,1.44,1.17,1,0.18,0,0,0,0,0,30.3,30.3,0,0.28,1.08,,0.15,0.09,0,1.7,2.61,0.17,0,10.2,120.7,,2,20.5,171.8,51,263.6,0.66,1,1.3,0
"Rågsiktsbröd osötat fibrer ca 3,5%",208,260.8,1091.4,47.33,3.15,8.42,3.39,36.15,0,1.57,0.15,1.95,0,0,,0.58,0,0,0.01,0.4,0.12,0.01,0.86,0.01,0.83,0.64,0.58,0.06,0,0,0,0,0,11.6,11.7,0,0.11,0.59,,0.27,0.12,0,3.05,4.45,0.26,0,21.8,125.3,,0.8,22.1,144.7,32.4,415.9,1.04,0.64,1.26,0
Rågsiktsbröd fibrer ca 4%,209,265.8,1112.2,51.41,2.34,7.12,3.8,34.02,0,1.31,6.14,1.84,0.07,0,,0.43,0,0,0.01,0.3,0.09,0.01,0.64,0.01,0.62,0.48,0.43,0.05,0,0,0,0,0,13.6,13.6,0,0.13,0.48,,0.24,0.12,0,2.79,3.97,0.25,0,32.4,117.8,,0.8,27.2,163.9,32.5,309.5,0.77,0.64,1.26,0
Grahamsbröd fullkorn m mjölk fibrer ca 5%,210,278.8,1166.6,46.1,5.2,8.9,4.9,32.8,0,2.1,0.4,1.5,0,37,,1.02,0.03,0.01,0.02,0.76,0.16,0.02,1.61,0.01,1.57,1.05,0.92,0.14,0,0,0,0,0.77,46.9,46.9,0,0.44,1.11,,0.27,0.15,0,3,4.48,0.2,0.1,27.2,280,,2.82,60,270,74.7,480,1.2,2.51,1.9,0
Rågbröd fullkorn osötat fibrer ca 9%,211,246.8,1032.7,45.99,1.57,7.16,8.89,33.98,0,2.41,1.15,0.9,0.1,33,,0.24,0,0,0,0.18,0.03,0.01,0.36,0,0.34,0.51,0.45,0.06,0,0,0,0,0,0,0,0,0,0.53,,0.12,0.47,0,1.15,2.34,0.19,0,34.7,217.5,,2.34,26.4,296,73.9,575.2,1.44,0.69,1.55,0
Rågbröd fullkorn fibrer ca 6%,212,250.1,1046.6,45.63,2.52,7.53,6.22,36.71,0,1.4,3.9,2.43,0.4,17,,0.38,0,0,0.01,0.29,0.05,0.01,0.58,0.01,0.55,0.82,0.73,0.09,0,0,0,0,0,10.3,10.3,0,0,0.73,,0.19,0.09,0,1.93,3.19,0.19,0,31.8,138.5,,2,35.3,239.6,51,274.4,0.69,1,1.3,0
Rågbröd typ rallarhalvor fullkorn fibrer ca 9%,213,260.7,1090.8,49.87,1.54,6.68,9.07,30.33,0,2.51,3.65,0.75,0,72,,0.23,0,0,0,0.18,0.03,0.01,0.35,0,0.34,0.5,0.44,0.06,0,0,0,0,0,0,0,0,0,0.56,,0.2,0.11,0,1.8,2.91,0.19,0,44.3,210,,2.43,29.3,321,74.9,614.1,1.54,0.81,1.56,0
Rågbröd fullkorn osötat fibrer ca 5%,214,239.4,1001.8,46.11,1.55,7.08,5.03,38.84,0,1.38,0.11,4.2,0,18,,0.23,0,0,0,0.18,0.03,0.01,0.36,0,0.34,0.51,0.45,0.06,0,0,0,0,0,0,0,0,0,0.61,,0.17,0.1,0,1.7,2.88,0.13,0,30.5,113.4,,2,22,161,51,340.9,0.85,1,1.3,0
Hårt tunnbröd fullkorn vete råg korn havre mjölk fibrer 7%,216,361.2,1511.5,68,3.5,10,7,10.3,0,1.2,0.7,2.9,1.3,40,,0.72,0,0.01,0.02,0.49,0.18,0,0.73,0.02,0.67,1.39,1.26,0.13,0,0,0,0,0,51,51.6,7,0,0.8,,0.71,0.13,0,5.3,6.97,0.55,0,14,170,3.2,1.3,48,240,77.5,160,0.4,2,1.4,0
Tunnbröd vitt bröd mjukt mjölk fibrer ca 4%,217,280.5,1173.7,52.43,3.13,8,3.83,30.88,0,1.73,4.8,3.6,1.6,0,,0.5,0.03,0,0.01,0.26,0.15,0.02,0.91,0,0.88,0.69,0.57,0.12,0,0,0,0,0.77,10.8,10.8,0,0.1,0.61,,0.33,0.12,0,2.6,3.93,0.24,0.15,30.2,141.8,,0.83,64,189.8,38.3,410.2,1.03,1.11,1.45,0
Rågbröd fullkorn potatis fibrer ca 5%,219,258.2,1080.5,52.41,1.44,5.66,5.01,33.4,0,2.07,9.25,2.9,0,17,,0.17,0,0,0,0.27,0.07,0,0.49,0,0.17,0.35,0.44,0.05,0,0,0,0,0,0,0,0,0,0.53,,0.24,0.12,0,2.5,3.44,0.19,0,44.7,124.7,,1.4,45,250.1,36.5,551.6,1.38,0.66,1.56,0
Vitt bröd ostfralla vatten fibrer  ca 3%,222,274.5,1148.6,47.21,3.4,11.48,3.11,32.91,0,1.89,1.3,1.7,0,0,,0.69,1.54,0.01,0.01,0.48,0.16,0.01,0.89,0.01,0.66,0.65,0.6,0.05,0,0,0,0,8.37,20.8,21.6,10,0,0.33,,0.21,0.11,0,2.3,4.21,0.2,0,40.5,161.8,,0.84,109.4,123.2,17,468,1.17,1.48,0.84,0
Riskakor fullkorn solrosfrön majs fett 4%,224,394.4,1650,77.4,4.37,7.89,4.8,3.87,0,1.7,0.05,0.51,0.51,83,,0.73,0,0,0.01,0.52,0.13,0.02,1.48,0.01,1.44,1.95,1.9,0.04,0,0,0,0,0,4,4.4,5,0.1,0.37,1.3,0.01,0.05,0,6.51,7.8,0.38,0.09,37.5,304.8,2,1.14,35.7,268.4,112.6,127.2,0.32,6.1,1.62,0
Riskakor fullkorn smaksatta fett 18%,225,461.1,1929.2,65.8,18.08,6.97,2.9,3.07,0,3.14,0.71,2.6,0.73,76,,2.09,0.02,0.02,0.07,1.11,0.59,0.06,12.76,0.03,12.68,2.42,2.36,0.06,0,0,0,0,5.1,0,13.3,160,0.1,10.2,18.1,0.07,0.15,1.1,6.03,7.2,0.42,0.19,40.4,314.2,7,0.74,64.9,340.7,96.2,647.2,1.62,4.4,1.38,0
Bröd vitt glutenfritt fibrer ca 3%,226,298.7,1249.8,55.56,6.42,2.67,2.82,31.4,0,1.14,1.4,2,0,0,,0.99,0.01,0,0.01,0.66,0.27,0.02,1.43,0.01,1.41,3.7,3.23,0.47,0,0,0,0,0,0.4,0.4,0,0,0.63,,0.03,0.09,0,0.5,0.94,0.06,0.14,25.5,106.9,,0.5,67.8,141.6,8.4,235.7,0.59,0.38,0.28,0
Bröd mörkt glutenfritt fibrer ca 6%,227,289.3,1210.3,54.59,6.06,0.55,6.07,31.38,0,1.34,6.1,0.4,0.1,0,,0.9,0,0,0,0.61,0.25,0.02,1.35,0.01,1.33,3.52,3.08,0.44,0,0,0,0,0,0,0,0,0,0.47,,0.02,0.05,0,0.66,0.75,0.11,0,28.1,17.7,,1.94,77,289.9,3.9,177,0.44,0.04,0.14,0
Croissant fransk giffel,229,364.9,1526.8,36.76,21.46,5.83,1.11,33.22,0,1.57,0.04,6.14,4.34,0,,10.74,0.95,0.55,1.14,6.21,1.34,0.04,6.83,0.17,6.81,2.83,1.96,0.56,0.01,0,0,0,41.05,,192.9,,0.87,2.17,,0.13,0.11,0.7,1.78,2.83,0.09,0.18,14.1,85.5,,0.61,41.2,102.6,14.6,486.7,1.22,2.28,0.53,
Höstpotatis rå,230,81,338,16.8,0.1,1.8,2.2,78.2,0,0.9,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5,0,0.07,1.2,0.07,0.02,23.8,2.1,2.4,0.22,0,17.8,44,0.1,0.38,4.3,384,22,3,0.01,0.05,0.23,22
Höstpotatis kokt m salt,231,84.8,355,17.81,0.1,1.86,2.12,77.19,0,0.95,0.3,0.24,0.24,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5,0,0.12,1.4,0.06,0.02,17.2,1.86,2.16,0.2,0,18.6,42.8,8,0.35,4,322.7,19.1,84.6,0.21,0,0.2,11
Potatis m skal bakad u salt,233,91.4,382.4,19.4,0.1,1.7,2.5,75.3,0,1,0.5,0.1,0.1,0,,0.02,0,0,0,0.01,0,0,0,0,0,0.06,0.05,0.01,0,0,0,0,0,0,0,0,0,0.04,,0.06,0.03,9,1.8,2.08,0.3,0,9,46,,0.8,7,500,25,4,0.01,0.1,0.3,23
Potatis m skal bakad u salt i aluminiumfolie,234,88.8,371.4,18.1,0.6,1.5,2,76.8,0,1,0.3,0.2,0.2,0,,0.11,0,0,0,0.09,0.03,0,0.02,0.01,0.01,0.35,0.27,0.08,0,0,0,0,0,0,0,0,0,0.1,,0.05,0.04,10.5,2,2.25,0.14,0,9,35.5,,0.8,7,503,29,4,0.01,0.1,0.3,21
Potatis tärnad fryst,235,80.8,337.9,17.3,0.1,1.7,1.4,79,0,0.5,0.6,0.2,0.2,0,,0.02,0,0,0,0.01,0,0,0,0,0,0.06,0.05,0.01,0,0,0,0,0,0,0,0,0,0.04,,0.02,0.03,5,1.3,1.58,0.26,0,13,32,,0.7,8,346,13,25,0.06,0.1,0.3,0
Färskpotatis konserv,237,60.5,253.2,12.2,0.1,1.3,2.5,83,0,0.9,0.2,0.1,0.1,0,,0.02,0,0,0,0.01,0,0,0,0,0,0.06,0.05,0.01,0,0,0,0,0,0,0,0,0,0.1,,0.02,0.03,17,0.7,0.92,0.16,0,11,31,,0.7,11,230,10,260,0.65,0.1,0.3,0
Klyftpotatis u skal ugnsstekt m rapsolja,238,120.3,503.2,23.1,1.6,2.17,1.8,69.7,0,1.6,0.51,0.22,0.22,0,,0.14,0,0,0,0.09,0.03,0.01,0.92,0,0.89,0.47,0.34,0.13,0,0,0,0,0,0,0.7,9,0,0.41,2.3,0.06,0.04,18.8,2.37,2.7,0.27,0,28.9,94,18,0.32,6.5,594,30,132,0.33,5,0.27,0
Potatis råstekt,241,139.3,581.7,20.68,4.6,2.22,2.71,67.79,0,1.99,0.37,0.37,0.37,0,,0.44,0.01,0,0.01,0.26,0.1,0.02,2.62,0.02,2.54,1.23,0.87,0.35,0,0,0,0,0,12.9,14.2,15,0.19,1.2,,0.08,0.02,17.6,2.58,2.95,0.24,0,15.3,54.8,,0.47,6.6,473,27.4,357.1,0.9,0.06,0.28,
Potatis kokt o stekt,242,143.4,600.4,21.85,4.59,2.28,2.6,66.67,0,2.05,0.37,0.3,0.29,0,,0.44,0.01,0,0.01,0.26,0.1,0.02,2.61,0.02,2.53,1.23,0.87,0.35,0,0,0,0,0,12.8,14.1,15,0.19,1.26,,0.06,0.03,12.7,2.28,2.65,0.22,0,16,53.1,,0.44,6.2,396.1,23.7,455.9,1.14,0,0.25,
Pommes frites friterad potatis fett ca 7% fryst värmd i ugn,244,216.4,905.4,31.99,7.61,3.2,3.2,53,0,1,0.3,0.1,0.1,0,,2.83,0,0,0.07,2.13,0.55,0.03,3.87,0.01,3.84,0.58,0.53,0.05,0,0,0,0,0,0,0,0,0,1.3,,0.05,0.03,4,2.3,2.83,0.23,0,16.5,22,,0.9,9,515,86,3,0.01,0.1,0.4,0
Pommes frites friterad potatis fett ca 11% fryst,245,243.1,1017,30.6,11.4,3,3,51,0,1,0.4,0.1,0.1,0,,3.38,0,0,0.03,2.53,0.69,0.04,4.77,0,4.73,2.75,2.43,0.33,0,0,0,0,0,0,0,0,0,2,,0,0.03,4,3.3,3.8,0.24,0,16.5,93,,0.7,19,500,34,4,0.01,0.1,0.4,0
Pommes frites friterad potatis fett ca 17% gatukök,246,307.2,1285.2,32.6,17.5,3.5,3,41.5,0,1.9,0.3,0.1,0.1,0,,3.06,0,0.02,0.07,1.92,0.95,0.12,11.3,0.03,10.9,2.34,1.15,0.07,0,0,0,0,0,0,0,0,0,3,,0.18,0.03,4,3.2,3.78,0.24,0,11,93,,1,19,730,34,170,0.43,0.1,0.4,0
Kroppkakor el potatispalt m fläsk,248,169.1,707.4,22.8,5.7,5.7,1.5,62,0,2.3,0.4,0.2,0.2,0,,2.5,0.01,0.01,0.1,1.38,0.81,0.02,2.38,0.18,1.96,0.64,0.46,0.03,0.02,0.01,0.02,0.02,12,2,2,0,0.05,0.08,,0.2,0.09,0,2.2,3.25,0.22,0.3,12,82,,0.8,15,245,20,390,0.98,2,0.6,0
Pytt i panna gjutjärnsstekpanna hemlagad,249,138.6,580,13.9,6.2,6.3,0.9,71,0,1.7,0.9,0.3,0.3,0,,2.3,0.03,0.11,0.18,1.24,0.65,0.04,2.91,0.17,2.29,0.65,0.47,0.09,0.01,0,0,0,8,30,30.7,8,0.34,0.54,,0.11,0.11,1,2,3.16,0.3,0.2,6.5,89,,4.1,12,370,18,285,0.71,2,1.2,0
