Gruppering efter matcirkeln;;;;;Gruppering efter matcirkeln;0
Gruppering efter matcirkeln;Bröd o spannmål;;;;Bröd o spannmål;0
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;;;Bröd;0
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Hårt bröd ;;Hårt bröd;28
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Mjukt bröd ;;Mjukt bröd;42
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Riskakor;;Riskakor;2
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Smörgåskex;;Smörgåskex;7
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Tacoskal;;Tacoskal;1
Gruppering efter matcirkeln;Bröd o spannmål;Flingor - frukostflingor;;;Flingor - frukostflingor;28
Gruppering efter matcirkeln;Bröd o spannmål;Matgryn;;;Matgryn;14
Gruppering efter matcirkeln;Bröd o spannmål;Mjöl stärkelse kli;;;Mjöl stärkelse kli;29
Gruppering efter matcirkeln;Bröd o spannmål;Pasta;;;Pasta;21
Gruppering efter matcirkeln;Bröd o spannmål;Ris risnudlar;;;Ris risnudlar;25
Gruppering efter matcirkeln;Bröd o spannmål;Deg och gräddade skal och bottnar;;;Deg och gräddade skal och bottnar;3
Gruppering efter matcirkeln;Frukt o bär;;;;Frukt o bär;2
Gruppering efter matcirkeln;Frukt o bär;Bär färska frysta;;;Bär färska frysta;24
Gruppering efter matcirkeln;Frukt o bär;Frukt färsk fryst;;;Frukt färsk fryst;42
Gruppering efter matcirkeln;Frukt o bär;Frukt o bär konserverade;;;Frukt o bär konserverade;17
Gruppering efter matcirkeln;Frukt o bär;Frukt o bär torkade;;;Frukt o bär torkade;14
Gruppering efter matcirkeln;Frukt o bär;Fruktjuice mm;;;Fruktjuice mm;22
Gruppering efter matcirkeln;Fett o olja;;;;Fett o olja;0
Gruppering efter matcirkeln;Fett o olja;Flytande matfettsblandning;;;Flytande matfettsblandning;7
Gruppering efter matcirkeln;Fett o olja;Hård matfettsblandning;;;Hård matfettsblandning;39
Gruppering efter matcirkeln;Fett o olja;Olja;;;Olja;15
Gruppering efter matcirkeln;Fett o olja;Smör;;;Smör;3
Gruppering efter matcirkeln;Fett o olja;Övrigt fett (ister, talg, kokosfett);;;Övrigt fett (ister, talg, kokosfett);4
Gruppering efter matcirkeln;Grönsaker o baljväxter ;;;;Grönsaker o baljväxter;0
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Algprodukter;;;Algprodukter;1
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaksjuice rotfruktsjuice;;;Grönsaksjuice rotfruktsjuice;4
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Baljväxter (bönor, linser och ärter);;;Baljväxter (bönor, linser och ärter);51
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaker ;;;Grönsaker;94
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Rotfrukter;;;Rotfrukter;21
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaksblandningar med rotfrukter och eller baljväxter;;;Grönsaksblandningar med rotfrukter och eller baljväxter;9
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Svamp;;;Svamp;9
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;;;;Kött fisk skaldjur rom ägg;0
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Blodmat;;;Blodmat;2
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;;;Fisk o skaldjur;0
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk färsk fryst kokt;;Fisk färsk fryst kokt;68
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk rökt;;Fisk rökt;13
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk stekt ej panerad;;Fisk stekt ej panerad;7
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Skaldjur bläckfisk färsk fryst kokt;;Skaldjur bläckfisk färsk fryst kokt;14
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Skaldjur bläckfisk konserverad;;Skaldjur bläckfisk konserverad;6
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fågel ;;;Fågel;39
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Inälvor och organ;;;Inälvor och organ;33
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Korv;;;Korv;60
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Kött ;;;Kött;0
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Kött processat;;;Kött processat;25
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Rom, kaviar;;;Rom, kaviar;6
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Övrigt animaliskt *kött*, grodlår, sniglar, säl - färskt, fryst, tillagat;;;Övrigt animaliskt *kött*, grodlår, sniglar, säl - färskt, fryst, tillagat;1
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Ägg ;;;Ägg;9
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Sylta;;;Sylta;3
Gruppering efter matcirkeln;Ost o mjölkprodukter;;;;Ost o mjölkprodukter;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Grädde creme fraiche;;;Grädde creme fraiche;23
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mesvaror;;;Mesvaror;6
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;;;Mjölk fil yoghurt;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Mjölk;;Mjölk;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;;Fil yoghurt o syrade produkter;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;Naturell fil yoghurt;Naturell fil yoghurt;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;Smaksatt fil yoghurt;Smaksatt fil yoghurt;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;;;Vegetabiliska produkter och mjölkersättning;13
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;Mjölk veg. prod. el mjölkersättning ;;Mjölk veg. prod. el mjölkersättning;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;Fil o youghurt veg. prod. el mjölkersättning ;;Fil o youghurt veg. prod. el mjölkersättning;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;;;Ost;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Hård ost m.m.;;Hård ost m.m.;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Smältost;;Smältost;8
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Dessertost;;Dessertost;8
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Färskost o kvarg;;Färskost o kvarg;15
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Ost med vegetabilskt fett;;Ost med vegetabilskt fett;3
Gruppering efter matcirkeln;Potatis;;;;Potatis;31
Gruppering efter matcirkeln;Soja-  veteprotein o quorn;;;;Soja-  veteprotein o quorn;3
Blandade rätter;;;;;Blandade rätter;0
Blandade rätter;Blodprodukter blodrätter;;;;Blodprodukter blodrätter;0
Blandade rätter;Fisk o skaldjursprodukter o rätter;;;;Fisk o skaldjursprodukter o rätter;69
Blandade rätter;Fågelprodukter fågelrätter;;;;Fågelprodukter fågelrätter;0
Blandade rätter;Grynrätter;;;;Grynrätter;0
Blandade rätter;Grönsaks- rotfrukts- baljväxträtter o produkter;;;;Grönsaks- rotfrukts- baljväxträtter o produkter;0
Blandade rätter;Gröt;;;;Gröt;16
Blandade rätter;Hamburgare med  bröd (kött, fisk, fågel, vegetarisk);;;;Hamburgare med  bröd (kött, fisk, fågel, vegetarisk);5
Blandade rätter;Inälvor organ produkter o rätter;;;;Inälvor organ produkter o rätter;15
Blandade rätter;Korvrätter;;;;Korvrätter;9
Blandade rätter;Köttprodukter kötträtter;;;;Köttprodukter kötträtter;80
Blandade rätter;Osträtter;;;;Osträtter;3
Blandade rätter;Pannkakor, våfflor, crêpes;;;;Pannkakor, våfflor, crêpes;13
Blandade rätter;Pastarätter;;;;Pastarätter;12
Blandade rätter;Pizza paj pirog färdig smörgås;;;;Pizza paj pirog färdig smörgås;46
Blandade rätter;Potatisprodukter potatisrätter;;;;Potatisprodukter potatisrätter;0
Blandade rätter;Risrätter;;;;Risrätter;1
Blandade rätter;Välling;;;;Välling;12
Blandade rätter;Sojaprotein veteprotein Quorn produkter och rätter;;;;Sojaprotein veteprotein Quorn produkter och rätter;3
Blandade rätter;Sojaprotein veteprotein produkter och rätter;;;;Sojaprotein veteprotein produkter och rätter;0
Blandade rätter;Quorn produkter o rätter;;;;Quorn produkter o rätter;0
Blandade rätter;Söta soppor kräm o efterrättssås;;;;Söta soppor kräm o efterrättssås;26
Blandade rätter;Soppa sås matig sallad;;;;Soppa sås matig sallad;0
Blandade rätter;Soppa sås matig sallad;Soppa mat;;;Soppa mat;47
Blandade rätter;Soppa sås matig sallad;Sås dressing majonnäs ;;;Sås dressing majonnäs;79
Blandade rätter;Soppa sås matig sallad;Sallad blandad mat;;;Sallad blandad mat;10
Blandade rätter;Soppa sås matig sallad;Majonnässallad röror;;;Majonnässallad röror;6
Blandade rätter;Äggprodukter o rätter;;;;Äggprodukter o rätter;6
Blandade rätter;Övriga ospecificerade blandade rätter;;;;Övriga ospecificerade blandade rätter;0
Blandade rätter;Sojaprotein veteprotein Quorn produkter och rätter;;;;Sojaprotein veteprotein Quorn produkter och rätter;3
Övriga grupper;;;;;Övriga grupper;0
Övriga grupper;Bakverk och diverse efterrätter;;;;Bakverk och diverse efterrätter;0
Övriga grupper;Bakverk och diverse efterrätter;Bullar kakor tårtor mm;;;Bullar kakor tårtor mm;86
Övriga grupper;Bakverk och diverse efterrätter;Efterrätter;;;Efterrätter;31
Övriga grupper;Dryck;;;;Dryck;1
Övriga grupper;Dryck;Drycker sötade;;;Drycker sötade;0
Övriga grupper;Dryck;Drycker sötade;Mjölkdryck chokladdryck milkshake smothie m yoghurt;;Mjölkdryck chokladdryck milkshake smothie m yoghurt;5
Övriga grupper;Dryck;Drycker sötade;Lightdrycker u energi;;Lightdrycker u energi;4
Övriga grupper;Dryck;Drycker sötade;Saft läsk cider u alkohol ;;Saft läsk cider u alkohol;19
Övriga grupper;Dryck;Drycker sötade;Sportdrycker energidrycker;;Sportdrycker energidrycker;2
Övriga grupper;Dryck;Drycker sötade;Övriga sötade drycker vattenchoklad;;Övriga sötade drycker vattenchoklad;4
Övriga grupper;Dryck;Kaffe te;;;Kaffe te;0
Övriga grupper;Dryck;Kaffe te;Kaffe;;Kaffe;5
Övriga grupper;Dryck;Kaffe te;Te;;Te;4
Övriga grupper;Dryck;Kaffe te;Kaffe te med mjölk;;Kaffe te med mjölk;0
Övriga grupper;Dryck;Vatten mineralvatten;;;Vatten mineralvatten;15
Övriga grupper;Dryck;Öl vin sprit;;;Öl vin sprit;0
Övriga grupper;Dryck;Öl vin sprit;Öl;;Öl;4
Övriga grupper;Dryck;Öl vin sprit;Vin;;Vin;10
Övriga grupper;Dryck;Öl vin sprit;Cider alkoläsk drink;;Cider alkoläsk drink;3
Övriga grupper;Dryck;Öl vin sprit;Likör;;Likör;3
Övriga grupper;Dryck;Öl vin sprit;Starksprit;;Starksprit;7
Övriga grupper;Glass;;;;Glass;25
Övriga grupper;Godis choklad tuggummi;;;;Godis choklad tuggummi;0
Övriga grupper;Godis choklad tuggummi;Choklad ;;;Choklad;7
Övriga grupper;Godis choklad tuggummi;Godis ej choklad;;;Godis ej choklad;11
Övriga grupper;Godis choklad tuggummi;Godis som innehåller choklad;;;Godis som innehåller choklad;15
Övriga grupper;Godis choklad tuggummi;Frukt o nötgodisblandningar;;;Frukt o nötgodisblandningar;0
Övriga grupper;Godis choklad tuggummi;Sockerfritt godis;;;Sockerfritt godis;1
Övriga grupper;Godis choklad tuggummi;Tuggummi;;;Tuggummi;2
Övriga grupper;Kost- o näringspreparat;;;;Kost- o näringspreparat;8
Övriga grupper;Smaksättare o bakingredienser;;;;Smaksättare o bakingredienser;0
Övriga grupper;Smaksättare o bakingredienser;Buljong;;;Buljong;18
Övriga grupper;Smaksättare o bakingredienser;Gelatin agar agar;;;Gelatin agar agar;2
Övriga grupper;Smaksättare o bakingredienser;Jäst bakpulver;;;Jäst bakpulver;3
Övriga grupper;Smaksättare o bakingredienser;Kakaoprodukter;;;Kakaoprodukter;2
Övriga grupper;Smaksättare o bakingredienser;Kryddor ;;;Kryddor;1
Övriga grupper;Smaksättare o bakingredienser;Salt;;;Salt;4
Övriga grupper;Smaksättare o bakingredienser;Senap ketchup HP-sås soja *smaksättare*;;;Senap ketchup HP-sås soja *smaksättare*;11
Övriga grupper;Smaksättare o bakingredienser;Socker sirap honung;;;Socker sirap honung;6
Övriga grupper;Smaksättare o bakingredienser;Sötningsmedel;;;Sötningsmedel;1
Övriga grupper;Smaksättare o bakingredienser;Ättika vinäger;;;Ättika vinäger;3
Övriga grupper;Snacks chips popcorn nötter bars;;;;Snacks chips popcorn nötter bars;0
Övriga grupper;Snacks chips popcorn nötter bars;Chips popcorn o dyl;;;Chips popcorn o dyl;11
Övriga grupper;Snacks chips popcorn nötter bars;Nötter frön;;;Nötter frön;21
Övriga grupper;Snacks chips popcorn nötter bars;Frukt o nötblandningar bars;;;Frukt o nötblandningar bars;2
Övriga grupper;Sylt marmelad gelé äppelmos o dyl;;;;Sylt marmelad gelé äppelmos o dyl;18
